stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
8j4i,190,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8jvx,42,U1AV16,train,0.6333,0.6204,U1AV16,0.6333,0.6204,0.07,qtmscore,25,23,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8k7z,180,A0A1G3MRN1,train,0.5763,0.5706,A0A1G3MRN1,0.5763,0.5706,0.046,qtmscore,23,23,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8raj,111,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8s3m,350,A0A7W0XMF4,train,0.5733,0.4712,A0A7W0XMF4,0.5733,0.4712,0.082,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8s89,402,A0A812KHW7,train,0.4653,0.4575,A0A812KHW7,0.4653,0.4575,0.034,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8u1a,379,A0A218Z398,train,0.7634,0.7181,A0A218Z398,0.7634,0.7181,0.042,qtmscore,17,17,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8v4w,207,A0A1D8ARN9,train,0.5313,0.4856,A0A1D8ARN9,0.5313,0.4856,0.018,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8vd6,185,A0A439IHF8,train,0.7297,0.7264,A0A439IHF8,0.7297,0.7264,0.103,qtmscore,11,11,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8vej,253,A0A7S0MSU8,train,0.5447,0.5081,A0A7S0MSU8,0.5447,0.5081,0.042,qtmscore,2,2,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8wwc,286,A0A091ELT7,train,0.9984,0.9924,A0A091ELT7,0.9984,0.9924,0.939,qtmscore,864,846,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8xtn,33,,,,,,,,,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8yl4,214,A0A2C9UBX7,train,0.4646,0.4363,A0A2C9UBX7,0.4646,0.4363,0.021,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8yoz,82,N6YPL9,train,0.8146,0.7666,N6YPL9,0.8146,0.7666,0.232,qtmscore,122,118,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
8zaf,403,A0A6A6F8F9,train,0.9462,0.9434,A0A6A6F8F9,0.9462,0.9434,0.333,qtmscore,20,20,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
